session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
gyk14m1i,1,lsj7kjnh,0,,InitializeParticipant,1756815754,1,0,0
gyk14m1i,2,yvqdqt0q,0,,InitializeParticipant,1756815758,1,0,0
gyk14m1i,3,880esy08,0,,InitializeParticipant,1756815986,1,0,0
gyk14m1i,3,880esy08,1,design_exp,Instructions_WelcomeScreen,1756816068,1,0,0
gyk14m1i,3,880esy08,11,design_exp,QuestionPage,1756816076,2,0,0
gyk14m1i,3,880esy08,19,design_exp,QuestionPage,1756816149,3,0,0
gyk14m1i,3,880esy08,27,design_exp,QuestionPage,1756816173,4,0,0
gyk14m1i,3,880esy08,35,design_exp,QuestionPage,1756816249,5,0,0
gyk14m1i,3,880esy08,43,design_exp,QuestionPage,1756816287,6,0,0
gyk14m1i,3,880esy08,51,design_exp,QuestionPage,1756816326,7,0,0
gyk14m1i,3,880esy08,59,design_exp,QuestionPage,1756816355,8,0,0
gyk14m1i,3,880esy08,67,design_exp,QuestionPage,1756816437,9,0,0
gyk14m1i,3,880esy08,75,design_exp,QuestionPage,1756816448,10,0,0
gyk14m1i,4,rmg49a8m,0,,InitializeParticipant,1756816500,1,0,0
gyk14m1i,5,o6gyd6vc,0,,InitializeParticipant,1756816506,1,0,0
gyk14m1i,3,880esy08,83,design_exp,QuestionPage,1756816509,11,0,0
gyk14m1i,4,rmg49a8m,1,design_exp,Instructions_WelcomeScreen,1756816536,1,0,0
gyk14m1i,3,880esy08,91,design_exp,QuestionPage,1756816587,12,0,0
gyk14m1i,3,880esy08,99,design_exp,QuestionPage,1756816602,13,0,0
gyk14m1i,3,880esy08,107,design_exp,QuestionPage,1756816638,14,0,0
gyk14m1i,3,880esy08,115,design_exp,QuestionPage,1756816662,15,0,0
gyk14m1i,4,rmg49a8m,11,design_exp,QuestionPage,1756816667,2,0,0
gyk14m1i,3,880esy08,123,design_exp,QuestionPage,1756816680,16,0,0
gyk14m1i,4,rmg49a8m,19,design_exp,QuestionPage,1756816681,3,0,0
gyk14m1i,3,880esy08,131,design_exp,QuestionPage,1756816699,17,0,0
gyk14m1i,4,rmg49a8m,27,design_exp,QuestionPage,1756816815,4,0,0
gyk14m1i,4,rmg49a8m,35,design_exp,QuestionPage,1756816877,5,0,0
gyk14m1i,4,rmg49a8m,43,design_exp,QuestionPage,1756816961,6,0,0
gyk14m1i,4,rmg49a8m,51,design_exp,QuestionPage,1756817030,7,0,0
gyk14m1i,4,rmg49a8m,59,design_exp,QuestionPage,1756817048,8,0,0
gyk14m1i,3,880esy08,139,design_exp,QuestionPage,1756817055,18,0,0
gyk14m1i,3,880esy08,147,design_exp,QuestionPage,1756817065,19,0,0
gyk14m1i,3,880esy08,155,design_exp,QuestionPage,1756817078,20,0,0
gyk14m1i,3,880esy08,163,design_exp,QuestionPage,1756817088,21,0,0
gyk14m1i,3,880esy08,171,design_exp,QuestionPage,1756817109,22,0,0
gyk14m1i,4,rmg49a8m,67,design_exp,QuestionPage,1756817110,9,0,0
gyk14m1i,3,880esy08,179,design_exp,QuestionPage,1756817137,23,0,0
gyk14m1i,3,880esy08,187,design_exp,QuestionPage,1756817145,24,0,0
gyk14m1i,3,880esy08,195,design_exp,QuestionPage,1756817155,25,0,0
gyk14m1i,4,rmg49a8m,75,design_exp,QuestionPage,1756817168,10,0,0
gyk14m1i,4,rmg49a8m,83,design_exp,QuestionPage,1756817241,11,0,0
gyk14m1i,4,rmg49a8m,91,design_exp,QuestionPage,1756817272,12,0,0
gyk14m1i,3,880esy08,203,design_exp,QuestionPage,1756817341,26,0,0
gyk14m1i,3,880esy08,211,design_exp,QuestionPage,1756817354,27,0,0
gyk14m1i,3,880esy08,220,design_exp,CognitiveLimitInvestmentPage,1756817421,28,0,0
gyk14m1i,3,880esy08,228,design_exp,CognitiveLimitInvestmentPage,1756817454,29,0,0
gyk14m1i,3,880esy08,236,design_exp,CognitiveLimitInvestmentPage,1756817477,30,0,0
gyk14m1i,4,rmg49a8m,99,design_exp,QuestionPage,1756817484,13,0,0
gyk14m1i,3,880esy08,244,design_exp,CognitiveLimitInvestmentPage,1756817520,31,0,0
gyk14m1i,3,880esy08,253,design_exp,CognitiveLimitBoxPage,1756817621,32,0,0
gyk14m1i,4,rmg49a8m,107,design_exp,QuestionPage,1756817634,14,0,0
gyk14m1i,4,rmg49a8m,115,design_exp,QuestionPage,1756817668,15,0,0
gyk14m1i,3,880esy08,262,design_exp,CognitiveLimitInsurancePage,1756817713,33,0,0
gyk14m1i,4,rmg49a8m,123,design_exp,QuestionPage,1756817736,16,0,0
gyk14m1i,4,rmg49a8m,131,design_exp,QuestionPage,1756817789,17,0,0
gyk14m1i,3,880esy08,271,design_exp,SurveyPage,1756817871,34,0,0
gyk14m1i,3,880esy08,279,design_exp,SurveyPage,1756817896,35,0,0
gyk14m1i,4,rmg49a8m,139,design_exp,QuestionPage,1756817918,18,0,0
gyk14m1i,4,rmg49a8m,147,design_exp,QuestionPage,1756817931,19,0,0
gyk14m1i,3,880esy08,287,design_exp,SurveyPage,1756817945,36,0,0
gyk14m1i,4,rmg49a8m,155,design_exp,QuestionPage,1756817979,20,0,0
gyk14m1i,4,rmg49a8m,163,design_exp,QuestionPage,1756817991,21,0,0
gyk14m1i,4,rmg49a8m,171,design_exp,QuestionPage,1756818001,22,0,0
gyk14m1i,4,rmg49a8m,179,design_exp,QuestionPage,1756818028,23,0,0
gyk14m1i,3,880esy08,295,design_exp,SurveyPage,1756818044,37,0,0
gyk14m1i,4,rmg49a8m,187,design_exp,QuestionPage,1756818045,24,0,0
gyk14m1i,3,880esy08,303,design_exp,SurveyPage,1756818065,38,0,0
gyk14m1i,3,880esy08,311,design_exp,SurveyPage,1756818088,39,0,0
gyk14m1i,3,880esy08,319,design_exp,SurveyPage,1756818159,40,0,0
gyk14m1i,4,rmg49a8m,195,design_exp,QuestionPage,1756818354,25,0,0
gyk14m1i,4,rmg49a8m,203,design_exp,QuestionPage,1756818374,26,0,0
gyk14m1i,4,rmg49a8m,211,design_exp,QuestionPage,1756818410,27,0,0
gyk14m1i,4,rmg49a8m,220,design_exp,CognitiveLimitInvestmentPage,1756818535,28,0,0
gyk14m1i,4,rmg49a8m,228,design_exp,CognitiveLimitInvestmentPage,1756818586,29,0,0
gyk14m1i,4,rmg49a8m,236,design_exp,CognitiveLimitInvestmentPage,1756818614,30,0,0
gyk14m1i,4,rmg49a8m,244,design_exp,CognitiveLimitInvestmentPage,1756818640,31,0,0
gyk14m1i,4,rmg49a8m,253,design_exp,CognitiveLimitBoxPage,1756818870,32,0,0
gyk14m1i,6,htfwqrok,0,,InitializeParticipant,1756819072,1,0,0
gyk14m1i,4,rmg49a8m,262,design_exp,CognitiveLimitInsurancePage,1756819101,33,0,0
gyk14m1i,4,rmg49a8m,271,design_exp,SurveyPage,1756819150,34,0,0
gyk14m1i,6,htfwqrok,1,design_exp,Instructions_WelcomeScreen,1756819176,1,0,0
gyk14m1i,4,rmg49a8m,279,design_exp,SurveyPage,1756819197,35,0,0
gyk14m1i,6,htfwqrok,11,design_exp,QuestionPage,1756819197,2,0,0
gyk14m1i,6,htfwqrok,19,design_exp,QuestionPage,1756819260,3,0,0
gyk14m1i,6,htfwqrok,27,design_exp,QuestionPage,1756819321,4,0,0
gyk14m1i,7,hntfyi76,0,,InitializeParticipant,1756819343,1,0,0
gyk14m1i,6,htfwqrok,35,design_exp,QuestionPage,1756819365,5,0,0
gyk14m1i,4,rmg49a8m,287,design_exp,SurveyPage,1756819402,36,0,0
gyk14m1i,7,hntfyi76,1,design_exp,Instructions_WelcomeScreen,1756819403,1,0,0
gyk14m1i,6,htfwqrok,43,design_exp,QuestionPage,1756819422,6,0,0
gyk14m1i,7,hntfyi76,11,design_exp,QuestionPage,1756819426,2,0,0
gyk14m1i,6,htfwqrok,51,design_exp,QuestionPage,1756819442,7,0,0
gyk14m1i,7,hntfyi76,19,design_exp,QuestionPage,1756819590,3,0,0
gyk14m1i,6,htfwqrok,59,design_exp,QuestionPage,1756819606,8,0,0
gyk14m1i,7,hntfyi76,27,design_exp,QuestionPage,1756819620,4,0,0
gyk14m1i,6,htfwqrok,67,design_exp,QuestionPage,1756819637,9,0,0
gyk14m1i,7,hntfyi76,35,design_exp,QuestionPage,1756819683,5,0,0
gyk14m1i,6,htfwqrok,75,design_exp,QuestionPage,1756819752,10,0,0
gyk14m1i,7,hntfyi76,43,design_exp,QuestionPage,1756819753,6,0,0
gyk14m1i,6,htfwqrok,83,design_exp,QuestionPage,1756819778,11,0,0
gyk14m1i,7,hntfyi76,51,design_exp,QuestionPage,1756819787,7,0,0
gyk14m1i,6,htfwqrok,91,design_exp,QuestionPage,1756819788,12,0,0
gyk14m1i,6,htfwqrok,99,design_exp,QuestionPage,1756819849,13,0,0
gyk14m1i,4,rmg49a8m,295,design_exp,SurveyPage,1756819862,37,0,0
gyk14m1i,6,htfwqrok,107,design_exp,QuestionPage,1756819866,14,0,0
gyk14m1i,6,htfwqrok,115,design_exp,QuestionPage,1756819923,15,0,0
gyk14m1i,7,hntfyi76,59,design_exp,QuestionPage,1756819928,8,0,0
gyk14m1i,4,rmg49a8m,303,design_exp,SurveyPage,1756819948,38,0,0
gyk14m1i,7,hntfyi76,67,design_exp,QuestionPage,1756819979,9,0,0
gyk14m1i,6,htfwqrok,123,design_exp,QuestionPage,1756819993,16,0,0
gyk14m1i,4,rmg49a8m,311,design_exp,SurveyPage,1756819994,39,0,0
gyk14m1i,6,htfwqrok,131,design_exp,QuestionPage,1756820035,17,0,0
gyk14m1i,6,htfwqrok,139,design_exp,QuestionPage,1756820068,18,0,0
gyk14m1i,4,rmg49a8m,319,design_exp,SurveyPage,1756820104,40,0,0
gyk14m1i,6,htfwqrok,147,design_exp,QuestionPage,1756820109,19,0,0
gyk14m1i,7,hntfyi76,75,design_exp,QuestionPage,1756820308,10,0,0
gyk14m1i,7,hntfyi76,83,design_exp,QuestionPage,1756820489,11,0,0
gyk14m1i,7,hntfyi76,91,design_exp,QuestionPage,1756820502,12,0,0
gyk14m1i,6,htfwqrok,155,design_exp,QuestionPage,1756820520,20,0,0
gyk14m1i,6,htfwqrok,163,design_exp,QuestionPage,1756820548,21,0,0
gyk14m1i,6,htfwqrok,171,design_exp,QuestionPage,1756820595,22,0,0
gyk14m1i,7,hntfyi76,99,design_exp,QuestionPage,1756820610,13,0,0
gyk14m1i,6,htfwqrok,179,design_exp,QuestionPage,1756820617,23,0,0
gyk14m1i,7,hntfyi76,107,design_exp,QuestionPage,1756820658,14,0,0
gyk14m1i,7,hntfyi76,115,design_exp,QuestionPage,1756820711,15,0,0
gyk14m1i,6,htfwqrok,187,design_exp,QuestionPage,1756820733,24,0,0
gyk14m1i,7,hntfyi76,123,design_exp,QuestionPage,1756820738,16,0,0
gyk14m1i,7,hntfyi76,131,design_exp,QuestionPage,1756820779,17,0,0
gyk14m1i,6,htfwqrok,195,design_exp,QuestionPage,1756820795,25,0,0
gyk14m1i,7,hntfyi76,139,design_exp,QuestionPage,1756820809,18,0,0
gyk14m1i,7,hntfyi76,147,design_exp,QuestionPage,1756820826,19,0,0
gyk14m1i,7,hntfyi76,155,design_exp,QuestionPage,1756820839,20,0,0
gyk14m1i,7,hntfyi76,163,design_exp,QuestionPage,1756820871,21,0,0
gyk14m1i,7,hntfyi76,171,design_exp,QuestionPage,1756820915,22,0,0
gyk14m1i,7,hntfyi76,179,design_exp,QuestionPage,1756820932,23,0,0
gyk14m1i,6,htfwqrok,203,design_exp,QuestionPage,1756820934,26,0,0
gyk14m1i,7,hntfyi76,187,design_exp,QuestionPage,1756820942,24,0,0
gyk14m1i,6,htfwqrok,211,design_exp,QuestionPage,1756820978,27,0,0
gyk14m1i,7,hntfyi76,195,design_exp,QuestionPage,1756821006,25,0,0
gyk14m1i,7,hntfyi76,203,design_exp,QuestionPage,1756821053,26,0,0
gyk14m1i,6,htfwqrok,220,design_exp,CognitiveLimitInvestmentPage,1756821069,28,0,0
gyk14m1i,6,htfwqrok,228,design_exp,CognitiveLimitInvestmentPage,1756821104,29,0,0
gyk14m1i,6,htfwqrok,236,design_exp,CognitiveLimitInvestmentPage,1756821127,30,0,0
gyk14m1i,8,15r83e94,0,,InitializeParticipant,1756821144,1,0,0
gyk14m1i,6,htfwqrok,244,design_exp,CognitiveLimitInvestmentPage,1756821150,31,0,0
gyk14m1i,6,htfwqrok,253,design_exp,CognitiveLimitBoxPage,1756821339,32,0,0
gyk14m1i,6,htfwqrok,262,design_exp,CognitiveLimitInsurancePage,1756821410,33,0,0
gyk14m1i,7,hntfyi76,211,design_exp,QuestionPage,1756821450,27,0,0
gyk14m1i,6,htfwqrok,271,design_exp,SurveyPage,1756821494,34,0,0
gyk14m1i,6,htfwqrok,279,design_exp,SurveyPage,1756821537,35,0,0
gyk14m1i,7,hntfyi76,220,design_exp,CognitiveLimitInvestmentPage,1756821565,28,0,0
gyk14m1i,7,hntfyi76,228,design_exp,CognitiveLimitInvestmentPage,1756821593,29,0,0
gyk14m1i,7,hntfyi76,236,design_exp,CognitiveLimitInvestmentPage,1756821620,30,0,0
gyk14m1i,6,htfwqrok,287,design_exp,SurveyPage,1756821630,36,0,0
gyk14m1i,7,hntfyi76,244,design_exp,CognitiveLimitInvestmentPage,1756821636,31,0,0
gyk14m1i,7,hntfyi76,253,design_exp,CognitiveLimitBoxPage,1756821760,32,0,0
gyk14m1i,6,htfwqrok,295,design_exp,SurveyPage,1756821818,37,0,0
gyk14m1i,7,hntfyi76,262,design_exp,CognitiveLimitInsurancePage,1756821841,33,0,0
gyk14m1i,6,htfwqrok,303,design_exp,SurveyPage,1756821870,38,0,0
gyk14m1i,7,hntfyi76,271,design_exp,SurveyPage,1756821882,34,0,0
gyk14m1i,7,hntfyi76,279,design_exp,SurveyPage,1756821916,35,0,0
gyk14m1i,6,htfwqrok,311,design_exp,SurveyPage,1756821926,39,0,0
gyk14m1i,7,hntfyi76,287,design_exp,SurveyPage,1756822009,36,0,0
gyk14m1i,6,htfwqrok,319,design_exp,SurveyPage,1756822016,40,0,0
gyk14m1i,7,hntfyi76,295,design_exp,SurveyPage,1756822142,37,0,0
gyk14m1i,7,hntfyi76,303,design_exp,SurveyPage,1756822172,38,0,0
gyk14m1i,7,hntfyi76,311,design_exp,SurveyPage,1756822203,39,0,0
gyk14m1i,7,hntfyi76,319,design_exp,SurveyPage,1756822340,40,0,0
gyk14m1i,9,qx5bv7xh,0,,InitializeParticipant,1756824174,1,0,0
gyk14m1i,9,qx5bv7xh,1,design_exp,Instructions_WelcomeScreen,1756824197,1,0,0
gyk14m1i,9,qx5bv7xh,11,design_exp,QuestionPage,1756824201,2,0,0
gyk14m1i,9,qx5bv7xh,19,design_exp,QuestionPage,1756824204,3,0,0
